"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Department of Business & Economic Development/Maryland State Arts Council","Avalon Foundation, Inc.","71607","2010","63,039","Grant funding for Arts Organizations","Grant","1","2010 Jun 30 12:00:00 AM"
"Resource Conservation Grants","RONALD E LOVE","21629","2018","59,686","COVER CROP","Grant","1","2018 Jun 30 12:00:00 AM"
"Boards and Commissions/Anne Arundel Abuse Counseling Center","Family & Children's Services of Central MD","21209","2014","169,941.52","VOCA Victim Assistance Formula Grant Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Transportation/Operating Grants-in-Aid","BALTIMORE METROPOLITAN COUNCIL","21230-4767","2013","6,080,938","MPO requirements","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Planning/Heritage Areas Authority","Heritage Tourism Alliance of Montgomery County, Inc.","20876","2016","109,825","FY 2015 & FY 2016 Maryland Heritage Areas Authority  - FY 2015 & FY 2016 Operating Assistance Grants for operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan. FY 2015 Funding to support the 18th annual Heritage Days Weekend, a  free-of-charge festival highlighting historic and cultural events at over 30 outdoor recreation sites across Montgomery County.  FY2016 to secure contractual and in-kind professional graphic design, research, and writing services, and obtain artwork licensing to  produce 5,000 copies each of three brochures highlighting African American Heritage in Montgomery County including: 1. the Underground Railroad, 2. Crossroads and Cultures, and 3. African American and Quaker history.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","WINDRIDGE FARM LLC","21710","2017","51,453","Cover Crop","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Data Center Energy Efficiency Pilot Program","Kaiser Permanente DCEEG Grant","20904","2017","200,000","Development of EE Program initiatives for Data Centers to encourage business development in Maryland","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture - Conservation Grants","Holloway Brothers","21811 - 2220","2015","72,910.5","COVER CROP","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Southern Maryland Vocational Industries, Inc.","20747","2013","50,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Family Crisis Resource Center, Inc.","21502","2018","169,950.29","Domestic Violence Prevention","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Natural Resources/STATE LAND ACQUISITION","Wright Constable & Skeen","21201","2013","129,976.8","Casselman Basin - Cunningham Swamp Acq","Grant","1","2013 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Office of Business Development","TRI-CO COUNCIL FOR WESTERN MD","21532","2013","156,900","Regional Economic Development Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Chesapeake Bay Trust","21401","2017","362,885","Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)","21014","2017","4,167","Reimbursable funds from DHMH for SARC - Rape Crisis Intervention","Grant","1","2017 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Family Crisis Center of Baltimore County, Inc.","21222","2011","37,263.56","Victims of Domestic Violence Interventions","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Labor, Licensing and Regulation/Division of Workforce Development and Adult Learning - Aid to Education","Baltimore Reads Inc","21202","2013","197,296.7","The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.","Grant","1","2013 Jun 30 12:00:00 AM"
"State Department of Education/Div Of Career Technology & Adult Learnin","Us Hispanic Youth Entrepreneur & Educ","21230","2009","100,000","Career Technology","Grant","1","2009 Jun 30 12:00:00 AM"
"Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABI","MARYLAND FAMILY NETWORK","212024364","2014","163,171","IDEA-PART B & C","Grant","1","2014 Jun 30 12:00:00 AM"
"OPERATING GRANTS-IN-AID","Wilmington Area Planning Council","19711-0000","2018","93,597.37","MPO Requirements","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","NATL COUNCIL FOR THE TRADITIONAL ARTS","20910","2016","113,836","MD State Arts Council - Folklife Grant","Grant","1","2016 Jun 30 12:00:00 AM"
"Electric Vehicle Supply Equipment (EVSE) Rebate Program","Electric Vehicle Institute","21239","2018","405,000","Rebates for the purchase and installation of Electric Vehicle Supply Equipment (EVSEs) in MD","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Human Resources - Office of Grants Management","Food & Friends Inc","20011","2015","840,625","Funds are used to provide nutritional  services to persons living with HIV/AIDS.","Grant","1","2015 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Southern Maryland Center for Family Advocacy","20636","2009","100,914","Legal services for victims of domestic violence","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Natural Resources/STATE LAND ACQUISITION","Wright Constable & Skeen","21201","2012","123,947.57","Frazee Res Mgt - Kasecamp Rd Prop Acq","Grant","1","2012 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","CASA of Montgomery County","20851","2009","171,010","Advocacy for children in foster care","Grant","1","2009 Jun 30 12:00:00 AM"
"Military Department/URBAN AREA SECURITY IMITATIVE FEDERAL GRANT","TEMPLE OHEB SHALOM","21208","2009","70,950","Anti-Terrorism","Grant","1","2009 Jun 30 12:00:00 AM"
"Maryland Department of Health/Prevention & Health Promotion Administration","Johns Hopkins University","21287","2017","479,708","Human Immunodeficiency Virus (HIV)","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/NUTRIENT MANAGEMENT","H WATSON POWELL SR","21841-2232","2014","80,643.4","Cover Crop Program Grant, Nutrient Mgt Grant","Grant","1","2014 Jun 30 12:00:00 AM"
"Facilities and Capital Equipment","COACH & EQUIP / LIFESTYLES OF MD","20646-4319","2018","96,000","COACH & EQUIP - SMALL BUS","Grant","1","2018 Jun 30 12:00:00 AM"
"Governor's Office of Community Initiatives","Playworks Education Energized","94607","2018","143,187.58","AmeriCorps State Service funding","Grant","1","2018 Jun 30 12:00:00 AM"
"Rural Maryland Council","TRI-CO COUNCIL FOR WESTERN MD","21532","2018","211,133","GRANTS TO NON-GOV ENTITIES","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Center for Watershed Protection","21043","2014","51,605.92","Great Mills High School Stormwater Pond Retrofit","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","Young Audiences of Maryland","21202","2009","167,784.34","grant funding for organizations and Community Arts Development programs.","Grant","1","2009 Jun 30 12:00:00 AM"
"State Department of Education/Office of the Secretary - General Administration [Grant title - ""Supporting Ex-Offenders in Employment, Training, and Transitional Services"" (SEETTS)]","Goodwill Industries of the Chesapeake, Inc.","21202","2010","250,000","Career and skills assessments, cognitive-based employment readiness classes, placement and retention","Grant","1","2010 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Anne Arundel County Mental Health Agency, Inc..","21401","2018","79,898","Byrne - Justice Assistance Grant (JAG) Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of  Labor, Licensing and Regulation/Adult Education  and Family Literacy Act (AEFLA)","Literacy Council of Montgomery County","20850","2017","124,109","The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/MANURE TRANSPORT","PERDUE AGRIRECYCLE LLC","19973","2014","333,052.99","Manure Transport Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Judiciary/Mediation & Conflict Resolution Office","Conflict Resolution Center of Montgomery County, Inc.","20814","2013","68,148","Community mediation performance-based funding at Level 4.","Grant","1","2013 Jun 30 12:00:00 AM"
"Governor's Office for Children/Children's Cabinet Interagency Fund","Montgomery County Collaboration Council for Children, Youth and Families, Inc.","20850","2017","1,088,701","Local Management Board support","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Aging/State MD Access Point (MAP)","RTZ Associates, Inc.","94612","2013","84,777.96","MAP Website Design","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Washington Adventist University","20912-7796","2013","962,962","Sellinger Formula Aid","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Rehab Energy Assistance - Regional Greenhouse Gases Initiative","C & O Conservation Inc","21795","2011","25,428.04","weatherization activities/products","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - OAG Counseling","Southeast Development Inc","21231","2015","107,500","OAG Legal Asst","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","BALTIMORE MUSEUM OF ART","21218-3898","2011","862,228","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland State Department of Education/DIVISION OF REHABILITATION SERVICES - HEADQUARTERS","BAY AREA CENTER FOR INDEPENDENT LIVING INC","21802","2017","241,533","Comprehensive Services - Independent Living","Grant","1","2017 Jun 30 12:00:00 AM"
"MD STATE ARTS COUNCIL","SALISBURY WICOMICO ARTS COUNCIL","21803-0884","2018","124,218","MD State Arts Council Community Arts Development Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"MDP- Heritage Areas Authority","Baltimore Office of Promotion & The Arts, Inc.","21202","2018","67,500","FY2016 Maryland Heritage Areas Authority (MHAA) (Capital) - To complete Phase 2A of the overall restoration of the historic Bromo Seltzer Arts Tower.","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Maryland Tourism Board","Star-Spangled 200 INC","21202","2015","2,172,512","MD WAR OF 1812 BICENTENNIAL COMMISSION GRANT","Grant","1","2015 Jun 30 12:00:00 AM"
"Resource Conservation Grants","MARK R JONES","21629","2018","156,106","COVER CROP","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/Cover crop","GOOSE HAVEN ENTERPRISES LLC","21620","2013","134,500","Cover Crop Grant-Commodity","Grant","1","2013 Jun 30 12:00:00 AM"
"Combined Heat and Power (CHP) Resilience Grant Program","UNIVERSITY OF MARYLAND MEDICAL SYSTEM CAPITAL REGION MEDICAL CENTER","20774","2018","500,000","Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities","Grant","1","2018 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","House of Ruth Maryland, Inc.","21218","2015","28,444.12","Byrne - Justice Assistance Grant (JAG) Program","Grant","1","2015 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","CASA de Maryland, Inc.","20783","2011","53,929.89","Community-Based Crime Prevention Project","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management","Franklin Square Hospital","21237","2010","89,372","Funds are used to provide services to victims of crime","Grant","1","2010 Jun 30 12:00:00 AM"
"MD STATE ARTS COUNCIL","Arts and Humanities Council of Montgomery County","20910","2018","175,791","MD State Arts Council Community Arts Development Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","IMAGINATION STAGE INC","20814","2011","289,617","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Pro Bono Resource Ctr of MD Inc","21201","2012","197,500","foreclosure/housing counseling activities","Grant","1","2012 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Maryland Coalition Against Sexual Assault, Inc. (MCASA)","20907","2017","24,095","Legal Services for Crime Victims","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","PHIPPS, MARGARET","20736","2009","15,000","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Office of the State's Attorneys' Coordinator","21043","2018","224,627","State's Attorney's Coordinating Council","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Department of Aging/State Ombudsman","Washington County Commission on Aging","21740","2017","42,797","State Ombudsman","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/Division of Early Childhood Development","MARYLAND FAMILY NETWORK","21202-4364","2012","213,187","BLOCK GRANT SCHOOL AGE RESOURCE AND REF","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Agriculture/S.C. District Operations","CECIL SOIL CONSERVATION DISTRICT","21921","2013","125,130","Soil Conservation District Operations","Grant","1","2013 Jun 30 12:00:00 AM"
"Military Department /Maryland Military Dept, MEMA","Leitersburg Volunteer Fire Co.","21742","2016","179,000","Volunteer Company Assistance Fund","Loan","1","2016 Jun 30 12:00:00 AM"
